//Exported ASCII-File
[Header]
FileName = D:\Gast\Lei Gao\20250414 Sadeed_Hetero\1.wip
GraphName = H-532nm-10s-ave10-2mw-50obj-spot2
SizeX = 1
SizeY = 1
SizeGraph = 2000
PositionUnit = µm
PositionX = 3205.8
PositionY = 3405.15
PositionZ = 0
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	H-532nm-10s-ave10-2mw-50obj-spot2
rel. 1/cm	CCD cts
-1.62822E+03	 5.11400E+02
-1.62495E+03	 5.07600E+02
-1.62168E+03	 5.09300E+02
-1.61842E+03	 5.06800E+02
-1.61515E+03	 5.07300E+02
-1.61189E+03	 5.09500E+02
-1.60863E+03	 5.05700E+02
-1.60536E+03	 5.07000E+02
-1.60210E+03	 5.08000E+02
-1.59884E+03	 5.07500E+02
-1.59559E+03	 5.07500E+02
-1.59233E+03	 5.06100E+02
-1.58907E+03	 5.07900E+02
-1.58582E+03	 5.07600E+02
-1.58257E+03	 5.05200E+02
-1.57931E+03	 5.08700E+02
-1.57606E+03	 5.06300E+02
-1.57281E+03	 5.11600E+02
-1.56956E+03	 5.09700E+02
-1.56631E+03	 5.08100E+02
-1.56307E+03	 5.08600E+02
-1.55982E+03	 5.07900E+02
-1.55658E+03	 5.05000E+02
-1.55333E+03	 5.08400E+02
-1.55009E+03	 5.07100E+02
-1.54685E+03	 5.06300E+02
-1.54361E+03	 5.07000E+02
-1.54037E+03	 5.07600E+02
-1.53713E+03	 5.07800E+02
-1.53390E+03	 5.09100E+02
-1.53066E+03	 5.11600E+02
-1.52743E+03	 5.10100E+02
-1.52419E+03	 5.09500E+02
-1.52096E+03	 5.11400E+02
-1.51773E+03	 5.05400E+02
-1.51450E+03	 5.09100E+02
-1.51127E+03	 5.06500E+02
-1.50804E+03	 5.08800E+02
-1.50482E+03	 5.06200E+02
-1.50159E+03	 5.07500E+02
-1.49837E+03	 5.08100E+02
-1.49514E+03	 5.09200E+02
-1.49192E+03	 5.09600E+02
-1.48870E+03	 5.08000E+02
-1.48548E+03	 5.07300E+02
-1.48226E+03	 5.07200E+02
-1.47904E+03	 5.09500E+02
-1.47583E+03	 5.07500E+02
-1.47261E+03	 5.09100E+02
-1.46940E+03	 5.08600E+02
-1.46618E+03	 5.10100E+02
-1.46297E+03	 5.08500E+02
-1.45976E+03	 5.07300E+02
-1.45655E+03	 5.08800E+02
-1.45334E+03	 5.10800E+02
-1.45013E+03	 5.08400E+02
-1.44692E+03	 5.09100E+02
-1.44372E+03	 5.09000E+02
-1.44051E+03	 5.07100E+02
-1.43731E+03	 5.05700E+02
-1.43411E+03	 5.07000E+02
-1.43091E+03	 5.08200E+02
-1.42771E+03	 5.09200E+02
-1.42451E+03	 5.09300E+02
-1.42131E+03	 5.09500E+02
-1.41811E+03	 5.10100E+02
-1.41492E+03	 5.10400E+02
-1.41172E+03	 5.09700E+02
-1.40853E+03	 5.09500E+02
-1.40534E+03	 5.08700E+02
-1.40215E+03	 5.10800E+02
-1.39896E+03	 5.10100E+02
-1.39577E+03	 5.09400E+02
-1.39258E+03	 5.09100E+02
-1.38939E+03	 5.10300E+02
-1.38621E+03	 5.10200E+02
-1.38302E+03	 5.09900E+02
-1.37984E+03	 5.11200E+02
-1.37665E+03	 5.11400E+02
-1.37347E+03	 5.07300E+02
-1.37029E+03	 5.09700E+02
-1.36711E+03	 5.11400E+02
-1.36393E+03	 5.10100E+02
-1.36076E+03	 5.10000E+02
-1.35758E+03	 5.09100E+02
-1.35441E+03	 5.10800E+02
-1.35123E+03	 5.10600E+02
-1.34806E+03	 5.10900E+02
-1.34489E+03	 5.09200E+02
-1.34172E+03	 5.11400E+02
-1.33855E+03	 5.09400E+02
-1.33538E+03	 5.10400E+02
-1.33221E+03	 5.10600E+02
-1.32905E+03	 5.08500E+02
-1.32588E+03	 5.11100E+02
-1.32272E+03	 5.08300E+02
-1.31955E+03	 5.11300E+02
-1.31639E+03	 5.09300E+02
-1.31323E+03	 5.09300E+02
-1.31007E+03	 5.11400E+02
-1.30691E+03	 5.11000E+02
-1.30375E+03	 5.09200E+02
-1.30060E+03	 5.08900E+02
-1.29744E+03	 5.10000E+02
-1.29429E+03	 5.07900E+02
-1.29113E+03	 5.11500E+02
-1.28798E+03	 5.12500E+02
-1.28483E+03	 5.10200E+02
-1.28168E+03	 5.11300E+02
-1.27853E+03	 5.12200E+02
-1.27538E+03	 5.11300E+02
-1.27224E+03	 5.09600E+02
-1.26909E+03	 5.12100E+02
-1.26595E+03	 5.11400E+02
-1.26280E+03	 5.09000E+02
-1.25966E+03	 5.09900E+02
-1.25652E+03	 5.13800E+02
-1.25338E+03	 5.11800E+02
-1.25024E+03	 5.12400E+02
-1.24710E+03	 5.09100E+02
-1.24396E+03	 5.12000E+02
-1.24082E+03	 5.12600E+02
-1.23769E+03	 5.11800E+02
-1.23456E+03	 5.13100E+02
-1.23142E+03	 5.11800E+02
-1.22829E+03	 5.13000E+02
-1.22516E+03	 5.09400E+02
-1.22203E+03	 5.13200E+02
-1.21890E+03	 5.10000E+02
-1.21577E+03	 5.11600E+02
-1.21265E+03	 5.11400E+02
-1.20952E+03	 5.13100E+02
-1.20640E+03	 5.12500E+02
-1.20327E+03	 5.11500E+02
-1.20015E+03	 5.14000E+02
-1.19703E+03	 5.11700E+02
-1.19391E+03	 5.12500E+02
-1.19079E+03	 5.11400E+02
-1.18767E+03	 5.10900E+02
-1.18455E+03	 5.13500E+02
-1.18144E+03	 5.14700E+02
-1.17832E+03	 5.10900E+02
-1.17521E+03	 5.17400E+02
-1.17209E+03	 5.12700E+02
-1.16898E+03	 5.13200E+02
-1.16587E+03	 5.12200E+02
-1.16276E+03	 5.11400E+02
-1.15965E+03	 5.12900E+02
-1.15654E+03	 5.11300E+02
-1.15344E+03	 5.16900E+02
-1.15033E+03	 5.10800E+02
-1.14723E+03	 5.12100E+02
-1.14412E+03	 5.13600E+02
-1.14102E+03	 5.16200E+02
-1.13792E+03	 5.14800E+02
-1.13482E+03	 5.14700E+02
-1.13172E+03	 5.13800E+02
-1.12862E+03	 5.15600E+02
-1.12552E+03	 5.14500E+02
-1.12243E+03	 5.13700E+02
-1.11933E+03	 5.14100E+02
-1.11624E+03	 5.16000E+02
-1.11315E+03	 5.16800E+02
-1.11005E+03	 5.15800E+02
-1.10696E+03	 5.14700E+02
-1.10387E+03	 5.14300E+02
-1.10078E+03	 5.12200E+02
-1.09770E+03	 5.14300E+02
-1.09461E+03	 5.14800E+02
-1.09152E+03	 5.12000E+02
-1.08844E+03	 5.15300E+02
-1.08535E+03	 5.17000E+02
-1.08227E+03	 5.12900E+02
-1.07919E+03	 5.14600E+02
-1.07611E+03	 5.16000E+02
-1.07303E+03	 5.16400E+02
-1.06995E+03	 5.14400E+02
-1.06687E+03	 5.14900E+02
-1.06380E+03	 5.14800E+02
-1.06072E+03	 5.14600E+02
-1.05765E+03	 5.14200E+02
-1.05457E+03	 5.16300E+02
-1.05150E+03	 5.12500E+02
-1.04843E+03	 5.12500E+02
-1.04536E+03	 5.16600E+02
-1.04229E+03	 5.15100E+02
-1.03922E+03	 5.15500E+02
-1.03615E+03	 5.15400E+02
-1.03309E+03	 5.18000E+02
-1.03002E+03	 5.15100E+02
-1.02696E+03	 5.13500E+02
-1.02389E+03	 5.13200E+02
-1.02083E+03	 5.19300E+02
-1.01777E+03	 5.15300E+02
-1.01471E+03	 5.19000E+02
-1.01165E+03	 5.17400E+02
-1.00859E+03	 5.18800E+02
-1.00554E+03	 5.18800E+02
-1.00248E+03	 5.16200E+02
-9.99424E+02	 5.18100E+02
-9.96370E+02	 5.17400E+02
-9.93317E+02	 5.16100E+02
-9.90265E+02	 5.16500E+02
-9.87214E+02	 5.18700E+02
-9.84164E+02	 5.16900E+02
-9.81115E+02	 5.14300E+02
-9.78067E+02	 5.18600E+02
-9.75020E+02	 5.17200E+02
-9.71974E+02	 5.18500E+02
-9.68929E+02	 5.19000E+02
-9.65885E+02	 5.17200E+02
-9.62843E+02	 5.19500E+02
-9.59801E+02	 5.20600E+02
-9.56760E+02	 5.18700E+02
-9.53720E+02	 5.19600E+02
-9.50681E+02	 5.20000E+02
-9.47643E+02	 5.18300E+02
-9.44606E+02	 5.17600E+02
-9.41571E+02	 5.16800E+02
-9.38536E+02	 5.17100E+02
-9.35502E+02	 5.20200E+02
-9.32469E+02	 5.18000E+02
-9.29437E+02	 5.22300E+02
-9.26406E+02	 5.21500E+02
-9.23377E+02	 5.20000E+02
-9.20348E+02	 5.21600E+02
-9.17320E+02	 5.18500E+02
-9.14293E+02	 5.23000E+02
-9.11268E+02	 5.22600E+02
-9.08243E+02	 5.20900E+02
-9.05219E+02	 5.23800E+02
-9.02196E+02	 5.19600E+02
-8.99174E+02	 5.23100E+02
-8.96154E+02	 5.21200E+02
-8.93134E+02	 5.19100E+02
-8.90115E+02	 5.21900E+02
-8.87097E+02	 5.21600E+02
-8.84081E+02	 5.21600E+02
-8.81065E+02	 5.24300E+02
-8.78050E+02	 5.22500E+02
-8.75036E+02	 5.25800E+02
-8.72023E+02	 5.26900E+02
-8.69012E+02	 5.25300E+02
-8.66001E+02	 5.21500E+02
